url,element_index,element_role,element_name,announcement,html_snippet,is_accessible,wcag_violations,wcag_passes,capture_mode,timestamp
https://nodejs.org/,0,link,Skip to content,Skip to content link,"<a href=""#main"" class=""index-module__BEYdoq__skipToContent"">Skip to content</a>",True,None,"WCAG 4.1.2: Name, Role, Value, WCAG 2.4.4: Link Purpose",browse,2026-04-17T10:09:43.458144
https://nodejs.org/,1,navigation,,unlabeled navigation,"<nav class=""index-module__MxFfiW__container""><div class=""index-module__MxFfiW__innerContainer""><div class=""index-module__MxFfiW__nodeIconAndMobileItemsToggler""><a class=""index-module__MxFfiW__nodeIconWrapper"" aria-label=""Home"" href=""/en""><svg width=""267"" height=""80"" viewBox=""0 0 267 80"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"" class=""fill-[#333333] dark:fill-white index-module__oMcDnW__nodejsLogo"" aria-label=""Node.js logo""><mask id=""a"" maskUnits=""userSpaceOnUse"" x=""0"" y=""0"" width=""267"" hei...",True,None,None,browse,2026-04-17T10:09:43.458144
https://nodejs.org/,2,generic,,unlabeled generic,"<div class=""index-module__sr1Ola__glowingBackdrop""><svg viewBox=""0 0 1216 726"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"" aria-hidden=""true""><mask id=""mask0_91_8"" style=""mask-type:alpha"" maskUnits=""userSpaceOnUse"" width=""1216"" height=""726"" x=""0"" y=""0""><rect width=""1216"" height=""725.8"" fill=""url(#paint0_radial_91_8)""></rect></mask><g mask=""url(#mask0_91_8)""><path d=""M717.133 231.367L759.799 206.733L802.465 231.367V280.633L759.799 305.267L717.133 280.633V231.367Z"" stroke=""rgba(255, 255, 255, 1...",True,None,None,browse,2026-04-17T10:09:43.458144
https://nodejs.org/,3,main,,unlabeled main,"<main id=""main"" tabindex=""-1"" class=""layouts-module__mzYk8q__homeLayout""><section><div><h1 class=""special"">Run JavaScript Everywhere</h1><p>Node.js® is a free, open-source, cross-platform JavaScript runtime environment
that lets developers create servers, web apps, command line tools and scripts.</p></div><div class=""flex gap-4""><div class=""flex flex-col gap-2""><a role=""button"" aria-disabled=""false"" class=""index-module__chIz9G__button index-module__chIz9G__special !hidden dark:!block"" tabindex=""...",True,None,None,browse,2026-04-17T10:09:43.458144
https://nodejs.org/,4,contentinfo,,unlabeled contentinfo,"<footer class=""index-module__73-62W__container""><div class=""index-module__73-62W__innerContainer""><div class=""index-module__73-62W__row""><div class=""index-module__73-62W__sectionPrimary""><div class=""flex flex-row gap-2""><a class=""index-module__HT2Joq__wrapper index-module__HT2Joq__info"" href=""/blog/release/v24.15.0""><span class=""index-module__sqbL5G__badge index-module__sqbL5G__info index-module__sqbL5G__small index-module__HT2Joq__badge"">v24.15.0</span><span class=""index-module__HT2Joq__message...",True,None,None,browse,2026-04-17T10:09:43.458144
https://nodejs.org/,5,generic,,unlabeled generic,"<next-route-announcer style=""position: absolute;""></next-route-announcer>",True,None,None,browse,2026-04-17T10:09:43.458144
https://nodejs.org/,6,StaticText,Skip to content,Skip to content StaticText,Skip to content,True,None,None,browse,2026-04-17T10:09:43.458144
https://nodejs.org/,7,link,Home,Home link,"<a class=""index-module__MxFfiW__nodeIconWrapper"" aria-label=""Home"" href=""/en""><svg width=""267"" height=""80"" viewBox=""0 0 267 80"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"" class=""fill-[#333333] dark:fill-white index-module__oMcDnW__nodejsLogo"" aria-label=""Node.js logo""><mask id=""a"" maskUnits=""userSpaceOnUse"" x=""0"" y=""0"" width=""267"" height=""80"" style=""mask-type:luminance""><path d=""M267 0H0v79.378h267z"" fill=""#fff""></path></mask><g mask=""url(#a)""><path d=""M234.983 78.755a4 4 0 0 1-1.933-.51l-6....",True,None,"WCAG 4.1.2: Name, Role, Value, WCAG 2.4.4: Link Purpose",browse,2026-04-17T10:09:43.458144
https://nodejs.org/,8,checkbox,Toggle navigation menu,Toggle navigation menu checkbox,"<input class=""peer index-module__MxFfiW__sidebarItemToggler"" id=""sidebarItemToggler"" type=""checkbox"" aria-label=""Toggle navigation menu"" tabindex=""-1"">",True,None,"WCAG 4.1.2: Name, Role, Value",browse,2026-04-17T10:09:43.458144
https://nodejs.org/,9,link,Learn,Learn link,"<a href=""https://nodejs.org/learn"" class=""index-module__Caicaq__navItem index-module__Caicaq__nav""><span class=""index-module__Caicaq__label"">Learn</span></a>",True,None,"WCAG 4.1.2: Name, Role, Value, WCAG 2.4.4: Link Purpose",browse,2026-04-17T10:09:43.458144
